trajectory_id,lat,lon,s,b,h,x,y
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.45357299999999,161.510679,647.52,516.3,131.22,503823.0626095197,-1506701.611898294
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.45336400000001,161.510807,647.45,515.45,132.0,503827.010625192,-1506724.610459344
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.453162,161.51093,647.99,516.41,131.58,503830.8450666373,-1506746.8324978165
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.452961,161.511054,647.73,523.67,124.06,503834.6181250685,-1506768.9587065824
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.452758,161.511177,647.18,525.59,121.59,503838.48738096294,-1506791.2854660512
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.45255,161.511304,648.39,519.38,129.01,503842.4263233448,-1506814.1707135118
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.452146,161.511551,650.69,529.53,121.16,503850.06808991096,-1506858.6238793563
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.451945,161.511674,648.77,527.2,121.57,503853.8669937357,-1506880.7414578102
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.451736,161.5118,646.83,528.96,117.88,503857.8668557357,-1506903.7227029726
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.451534,161.511923,647.08,544.26,102.82,503861.7005709197,-1506925.945003883
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.451124,161.512171,645.05,542.67,102.37,503869.52508598845,-1506971.035233248
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.45092199999999,161.512293,645.73,541.11,104.62,503873.38483103534,-1506993.248838409
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.45071999999999,161.51241399999998,645.97,533.15,112.82,503877.27078920853,-1507015.453681667
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.450518,161.512536,630.32,535.68,94.65,503881.13035612815,-1507037.6673515858
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.45031,161.51266,635.76,539.9,95.85,503885.147180472,-1507060.5265872509
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.45010699999999,161.51278,641.03,553.63,87.41,503889.0941659307,-1507082.8273913309
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.449905,161.5129,641.4,547.44,93.96,503893.006071515,-1507105.0235701436
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.449703,161.513019,641.76,548.44,93.32,503896.94419372437,-1507127.210986441
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.449495,161.513141,638.29,552.28,86.01,503901.01326293225,-1507150.0527662137
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.449292,161.513259,634.91,547.05,87.86,503905.01250516594,-1507172.336110631
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.44909,161.513376,629.76,552.01,77.74,503909.0029754001,-1507194.5060341605
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.448887,161.51349299999998,629.85,548.85,81.0,503913.02835100074,-1507216.7806476504
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.448678,161.513611,629.94,545.7,84.24,503917.23727783974,-1507239.6920382215
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.448476,161.513725,628.63,549.51,79.12,503921.30640998937,-1507261.83567268
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.448273,161.513838,627.31,548.89,78.42,503925.4367563092,-1507284.0752018676
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.448071,161.513949,626.0,552.9,73.09,503929.5846448912,-1507306.1925132924
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.447862,161.514063,624.63,553.87,70.76,503933.89845770376,-1507329.0688531662
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.447659,161.514172,633.32,558.81,74.51,503938.1337884032,-1507351.273295513
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.447456,161.51428,642.02,563.37,78.65,503942.39534816175,-1507373.4689732124
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.447253,161.514386,626.48,558.88,67.6,503946.70944715786,-1507395.647090512
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.44704399999999,161.51449499999998,635.95,561.43,74.53,503951.1544750444,-1507418.479580529
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.446842,161.514599,630.96,558.13,72.83,503955.4860480324,-1507440.5355087004
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.446639,161.514702,620.65,555.9,64.75,503959.87884456647,-1507462.6873304283
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.44643,161.51480700000002,635.87,562.99,72.88,503964.4288762329,-1507485.4847312437
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.446226,161.51490800000002,635.47,561.53,73.93,503968.9091314108,-1507507.7236814443
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.446023,161.515008,634.65,563.33,71.32,503973.3806360321,-1507529.8492056567
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.44582,161.515107,621.43,554.62,66.81,503977.8783797886,-1507551.9659632354
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.445611,161.515208,625.39,559.25,66.15,503982.5333546264,-1507574.728302483
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.445408,161.515305,629.27,559.03,70.24,503987.0835780002,-1507596.8275269512
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.445001,161.51549599999998,632.11,564.31,67.81,503996.29774114967,-1507641.104333932
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.44458900000001,161.51568600000002,629.42,561.54,67.88,504005.7128765218,-1507685.895762357
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.444386,161.515777,627.13,559.79,67.33,504010.4206368024,-1507707.9423519955
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.44376899999999,161.51605,625.67,560.06,65.61,504024.8234153246,-1507774.9195764114
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.443566,161.51613799999998,622.64,557.76,64.87,504029.60985977616,-1507796.9398879143
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.443362,161.516225,619.62,554.86,64.76,504034.45754344325,-1507819.0560909992
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.442746,161.516482,614.9,546.79,68.1,504049.2454304117,-1507885.788321904
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.442332,161.516651,610.87,547.58,63.28,504059.28173829796,-1507930.604958286
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.442128,161.516734,608.6,545.73,62.87,504064.23432166385,-1507952.6861364562
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.44171999999999,161.516896,590.95,536.82,54.13,504074.24458704353,-1507996.8133823122
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.441511,161.516978,586.06,532.37,53.7,504079.3982371423,-1508019.4091528994
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.441307,161.517057,608.92,531.65,77.27,504084.45586372,-1508041.455246771
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.441103,161.51713600000002,586.45,520.53,65.92,504089.51343357924,-1508063.5013667867
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.440894,161.517216,584.08,521.47,62.61,504094.7195484119,-1508086.0796225488
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.440282,161.517447,579.48,516.54,62.94,504110.0496777786,-1508152.1654293193
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.440073,161.517525,581.94,513.21,68.73,504115.30820817023,-1508174.7261949824
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.43986899999999,161.517601,583.08,511.45,71.62,504120.44440774503,-1508196.7460766064
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.439665,161.517676,590.65,504.88,85.77,504125.60687629296,-1508218.7571851907
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.439251,161.517826,588.16,493.72,94.43,504136.1415538128,-1508263.4074568925
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.43864,161.518046,589.41,484.67,104.74,504151.7249569395,-1508329.2924306495
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.43843000000001,161.518121,590.19,480.79,109.4,504157.0970034356,-1508351.931672259
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.438023,161.518265,590.62,479.92,110.7,504167.54411307833,-1508395.7968121653
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.43781899999999,161.518337,588.47,425.28,163.19,504172.78508243366,-1508417.7817511524
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.437609,161.51841000000002,587.77,424.27,163.5,504178.2095688951,-1508440.4034971762
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.437405,161.518481,588.04,424.68,163.37,504183.4767621288,-1508462.3796869095
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.437201,161.518552,586.07,423.32,162.75,504188.74390479084,-1508484.3559013477
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.43699699999999,161.518622,586.3,424.17,162.13,504194.0373252848,-1508506.323340647
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.43596600000001,161.518977,580.82,431.37,149.45,504220.75682781654,-1508617.356215752
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.43494,161.519328,574.24,423.73,150.51,504247.4054769239,-1508727.8311905991
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.434736,161.519397,572.97,422.54,150.43,504252.72467801167,-1508749.7901008243
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.434526,161.519469,572.64,423.45,149.19,504258.1747164248,-1508772.4034288847
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.43411800000001,161.519608,571.59,421.01,150.58,504268.78653597354,-1508816.3301737828
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.4335,161.519818,570.23,425.23,145.01,504284.8742743015,-1508882.8616697672
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.433093,161.519957,568.51,418.27,150.25,504295.45061702613,-1508926.683994576
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.432475,161.520166,566.56,413.67,152.89,504311.5639412904,-1508993.207060208
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.431653,161.520446,563.95,401.98,161.97,504332.9425970807,-1509081.7072321326
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.430419,161.520868,562.03,398.82,163.2,504364.99137365224,-1509214.5805062247
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.430215,161.520938,563.2,395.27,167.93,504370.28314268327,-1509236.5487597378
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.429802,161.52108,564.71,390.32,174.39,504380.988739115,-1509281.0262822732
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.42898100000001,161.52136299999998,563.44,373.36,190.09,504402.2507724043,-1509369.4494881951
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.42836899999999,161.521573,563.59,373.94,189.65,504418.12487506156,-1509435.3548413343
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.42795600000001,161.521716,564.27,378.65,185.62,504428.8032114866,-1509479.841617606
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.426722,161.522142,561.86,376.93,184.93,504460.74114411155,-1509612.7527964492
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.426518,161.522213,562.12,376.99,185.14,504466.0056603825,-1509634.7302994858
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.42611099999999,161.522354,561.76,376.94,184.82,504476.5259138004,-1509678.5719061533
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.425901,161.522427,562.1,378.84,183.26,504481.94743728836,-1509701.195105928
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.425493,161.522568,564.03,382.39,181.64,504492.5023627967,-1509745.1415303948
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.42529,161.522639,562.75,381.71,181.04,504497.73159925186,-1509767.014513016
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.424876,161.522783,558.8,388.48,170.32,504508.41702344187,-1509811.6155168337
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.424673,161.522854,557.8,387.13,170.67,504513.6461071894,-1509833.48857394
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.42425899999999,161.522998,556.82,391.74,165.08,504524.33122087026,-1509878.0897294418
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.42405500000001,161.52307,557.07,388.38,168.69,504529.5687743011,-1509900.0763363864
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.423852,161.52314099999998,556.38,388.24,168.14,504534.79765450145,-1509921.9494926909
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.423648,161.523213,555.34,385.67,169.67,504540.03510575293,-1509943.9361492388
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.423438,161.523286,556.03,383.53,172.5,504545.456000408,-1509966.55965618
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.422209,161.523719,557.0,386.45,170.55,504577.0278294413,-1510099.0124301799
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.421796,161.523865,555.04,388.59,166.44,504587.6240103276,-1510143.5271354294
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.421592,161.523938,552.47,381.64,170.83,504592.8345874318,-1510165.5228495114
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.42138800000001,161.524011,551.61,394.97,156.64,504598.0451124273,-1510187.5185886675
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.421178,161.524086,550.63,385.01,165.62,504603.4127099279,-1510210.1599923759
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.420567,161.524305,549.36,400.67,148.69,504619.00883840065,-1510276.0427665056
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.419534,161.524676,547.02,410.44,136.58,504645.35610838595,-1510387.4359207794
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.41933,161.52475,546.69,410.63,136.06,504650.53974549606,-1510409.4407208578
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.419126,161.524824,546.85,414.86,132.0,504655.723329731,-1510431.4455461912
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.418922,161.524898,545.63,419.57,126.06,504660.906861091,-1510453.4503967853
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.418304,161.525122,542.66,422.48,120.18,504676.61424164666,-1510520.1107497998
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.417686,161.525347,540.59,425.68,114.91,504692.29477264476,-1510586.7801430547
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.41748199999999,161.525422,539.45,428.54,110.91,504697.4515654207,-1510608.7939806236
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.417278,161.525497,538.07,429.72,108.35,504702.6083045516,-1510630.807843629
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.417068,161.525574,537.98,429.26,108.72,504707.92208471656,-1510653.4673861864
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.416864,161.525649,537.57,429.56,108.01,504713.0787150619,-1510675.481300797
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.41666,161.525724,536.59,428.92,107.66,504718.235291764,-1510697.495240848
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.41645,161.525801,535.29,430.74,104.55,504723.54890495964,-1510720.154862657
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.416246,161.525877,534.13,428.93,105.2,504728.67900544946,-1510742.177663489
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.416041,161.525952,531.93,431.29,100.64,504733.8703897911,-1510764.296353882
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.415838,161.526027,530.33,430.26,100.07,504738.99177957966,-1510786.2057232938
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.413983,161.526717,506.86,418.29,88.57,504785.6654479988,-1510986.4542126693
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.41337,161.526946,506.79,419.28,87.5,504801.0622117163,-1511052.6371054484
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.412752,161.527178,502.4,421.9,80.51,504816.55420297896,-1511119.3700354917
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.412548,161.527255,500.27,419.8,80.47,504821.6569429746,-1511141.4021114483
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.412338,161.527334,497.4,413.17,84.23,504826.91668747953,-1511164.0798842902
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.412134,161.527411,495.21,413.35,81.86,504832.0193155912,-1511186.1120125789
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.41193,161.52748799999998,493.14,410.92,82.22,504837.12188852025,-1511208.1441666603
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.41171899999999,161.527567,490.59,406.61,83.98,504842.4164291816,-1511230.926695024
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.41151500000001,161.52764399999998,486.64,403.97,82.67,504847.5188900997,-1511252.958901526
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.411311,161.527722,484.04,402.69,81.35,504852.59491911106,-1511274.99994517
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.410896,161.52787800000002,479.0,397.36,81.64,504862.99158053525,-1511319.8148391664
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.410692,161.527955,475.55,393.53,82.03,504868.09381869447,-1511341.8471497754
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.410488,161.528032,473.2,385.3,87.9,504873.19600167056,-1511363.8794861827
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.41028399999999,161.528109,470.7,381.18,89.52,504878.2981294649,-1511385.9118483867
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.410074,161.528188,467.93,382.26,85.67,504883.5572448923,-1511408.5899156346
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.40987,161.528265,464.61,380.4,84.21,504888.6592608007,-1511430.6223301676
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.409665,161.52834199999998,462.04,380.98,81.06,504893.7961880948,-1511452.7594465993
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.408225,161.528888,443.1,330.91,112.19,504929.7432776861,-1511608.3050617408
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.40802099999999,161.528965,441.32,322.85,118.47,504934.84479263244,-1511630.3377102818
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.407402,161.5292,434.61,308.63,125.98,504950.2882262373,-1511697.2038027842
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.407198,161.529277,434.48,299.73,134.75,504955.38951803715,-1511719.2365555223
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.40678299999999,161.529435,432.75,288.77,143.98,504965.7311486041,-1511764.0701335429
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.406375,161.529589,429.52,278.85,150.67,504975.93334109435,-1511808.13582161
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.406165,161.52966899999998,428.7,275.87,152.83,504981.1649817534,-1511830.8232112695
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.405961,161.529746,428.41,273.22,155.19,504986.2659381355,-1511852.856120622
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.40575600000001,161.529823,428.26,270.92,157.34,504991.4018034892,-1511874.9937336545
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.405552,161.529899,428.96,263.1,165.86,504996.52903696126,-1511897.0178808453
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.405342,161.529978,428.91,263.91,165.0,505001.7868355389,-1511919.6965639037
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.405138,161.530055,426.09,286.13,139.95,505006.8875699275,-1511941.7295771884
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.40473,161.530209,428.53,248.48,180.04,505017.0888731555,-1511985.7956811462
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.40451999999999,161.53028799999998,424.71,245.39,179.32,505022.34644335444,-1512008.474471096
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.40431600000001,161.530365,424.06,239.32,184.74,505027.4469554892,-1512030.5075883034
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.404112,161.530443,423.49,237.14,186.34,505032.5210221465,-1512052.5495457924
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.40390699999999,161.53052,424.25,230.45,193.81,505037.6563865522,-1512074.687393414
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.403697,161.530599,423.5,245.59,177.91,505042.9137278456,-1512097.3662904392
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.40267,161.53099,420.28,180.85,239.43,505068.5010006502,-1512208.3183006772
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.402261,161.531145,422.7,173.56,249.15,505078.7095342288,-1512252.4985242286
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.40184599999999,161.531302,421.04,167.45,253.58,505089.07482639584,-1512297.3245606243
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.40164200000001,161.53137900000002,420.89,167.3,253.59,505094.17461339216,-1512319.3580164092
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.401023,161.531613,420.95,158.52,262.43,505109.63918364554,-1512386.2177463148
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.400819,161.53169,420.62,150.59,270.03,505114.73874787765,-1512408.2513062127
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.40060799999999,161.531769,420.4,142.5,277.9,505120.03019005223,-1512431.0352855197
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.40040400000001,161.531846,420.58,139.9,280.69,505125.12964227004,-1512453.068897841
IR2HI2_2011325_DVG_JKB2e_Y26a,-75.399171,161.53231,421.28,132.43,288.85,505155.9870384907,-1512586.2308747582
